Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
40	10:50:47	10:50:47	10:50:47	10:50:47	10:50:47	10:50:47	10:50:47	10:50:48	10:50:48	10:50:48	10:50:49	10:50:49	10:50:49	10:50:49	10:50:49	10:50:49	10:50:49	10:50:49	10:50:51	10:50:51		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:03
41	10:50:51	10:50:51	10:50:51	10:50:51	10:50:51	10:50:51			10:50:51	10:50:51	10:50:52	10:50:52	10:50:52	10:50:52	10:50:52	10:50:52			10:50:53	10:50:53		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
42	10:50:54	10:50:54	10:50:54	10:50:54	10:50:54	10:50:54			10:50:54	10:50:54	10:50:55	10:50:55	10:50:55	10:50:55	10:50:55	10:50:55			10:50:56	10:50:56		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
43	10:50:56	10:50:56	10:50:56	10:50:56	10:50:56	10:50:56			10:50:56	10:50:56	10:50:57	10:50:57	10:50:57	10:50:57	10:50:57	10:50:57			10:50:58	10:50:58		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
44	10:50:59	10:50:59	10:50:59	10:50:59	10:50:59	10:50:59			10:50:59	10:50:59	10:51:00	10:51:00	10:51:00	10:51:00	10:51:00	10:51:00			10:51:01	10:51:01		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
45	10:51:01	10:51:01	10:51:01	10:51:01	10:51:01	10:51:01			10:51:01	10:51:01	10:51:03	10:51:03	10:51:03	10:51:03	10:51:03	10:51:03			10:51:04	10:51:04		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
46	10:51:04	10:51:04	10:51:04	10:51:04	10:51:04	10:51:04			10:51:04	10:51:04	10:51:05	10:51:05	10:51:05	10:51:05	10:51:05	10:51:05			10:51:06	10:51:06		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
47	10:51:06	10:51:06	10:51:06	10:51:06	10:51:07	10:51:07			10:51:07	10:51:07	10:51:08	10:51:08	10:51:08	10:51:08	10:51:08	10:51:08			10:51:09	10:51:09		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
48	10:51:09	10:51:09	10:51:09	10:51:09	10:51:09	10:51:09			10:51:09	10:51:09	10:51:10	10:51:10	10:51:10	10:51:10	10:51:10	10:51:10			10:51:11	10:51:11		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
49	10:51:11	10:51:11	10:51:11	10:51:11	10:51:11	10:51:11			10:51:11	10:51:11	10:51:13	10:51:13	10:51:13	10:51:13	10:51:13	10:51:13			10:51:14	10:51:14		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
50	10:51:14	10:51:14	10:51:14	10:51:14	10:51:14	10:51:14	10:51:14	10:51:15	10:51:15	10:51:15	10:51:16	10:51:16	10:51:16	10:51:16	10:51:16	10:51:16	10:51:16	10:51:16	10:51:18	10:51:18		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:03
51	10:51:18	10:51:18	10:51:18	10:51:18	10:51:18	10:51:18			10:51:18	10:51:18	10:51:19	10:51:19	10:51:19	10:51:19	10:51:19	10:51:19			10:51:20	10:51:20		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
52	10:51:20	10:51:20	10:51:20	10:51:20	10:51:20	10:51:20			10:51:21	10:51:21	10:51:22	10:51:22	10:51:22	10:51:22	10:51:22	10:51:22			10:51:23	10:51:23		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
53	10:51:23	10:51:23	10:51:23	10:51:23	10:51:23	10:51:23			10:51:23	10:51:23	10:51:24	10:51:24	10:51:24	10:51:24	10:51:24	10:51:24			10:51:25	10:51:25		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
54	10:51:26	10:51:26	10:51:26	10:51:26	10:51:26	10:51:26			10:51:26	10:51:26	10:51:27	10:51:27	10:51:27	10:51:27	10:51:27	10:51:27			10:51:28	10:51:28		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
55	10:51:28	10:51:28	10:51:28	10:51:28	10:51:28	10:51:28			10:51:28	10:51:28	10:51:29	10:51:29	10:51:29	10:51:29	10:51:29	10:51:29			10:51:30	10:51:30		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
56	10:51:31	10:51:31	10:51:31	10:51:31	10:51:31	10:51:31			10:51:31	10:51:31	10:51:32	10:51:32	10:51:32	10:51:32	10:51:32	10:51:32			10:51:33	10:51:33		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
57	10:51:33	10:51:33	10:51:33	10:51:33	10:51:33	10:51:33			10:51:33	10:51:33	10:51:34	10:51:34	10:51:34	10:51:34	10:51:34	10:51:34			10:51:35	10:51:35		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
58	10:51:36	10:51:36	10:51:36	10:51:36	10:51:36	10:51:36			10:51:36	10:51:36	10:51:37	10:51:37	10:51:37	10:51:37	10:51:37	10:51:37			10:51:38	10:51:38		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
59	10:51:38	10:51:38	10:51:38	10:51:38	10:51:38	10:51:38			10:51:38	10:51:38	10:51:39	10:51:39	10:51:39	10:51:39	10:51:39	10:51:39			10:51:40	10:51:40		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
60	10:51:40	10:51:40	10:51:40	10:51:40	10:51:40	10:51:40	10:51:40	10:51:41	10:51:41	10:51:41	10:51:42	10:51:42	10:51:42	10:51:42	10:51:42	10:51:42	10:51:42	10:51:42	10:51:43	10:51:43		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:03
61	10:51:44	10:51:44	10:51:44	10:51:44	10:51:44	10:51:44			10:51:44	10:51:44	10:51:45	10:51:45	10:51:45	10:51:45	10:51:45	10:51:45			10:51:46	10:51:46		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
62	10:51:46	10:51:46	10:51:46	10:51:46	10:51:46	10:51:46			10:51:46	10:51:46	10:51:47	10:51:47	10:51:47	10:51:47	10:51:47	10:51:47			10:51:48	10:51:48		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
63	10:51:48	10:51:48	10:51:48	10:51:48	10:51:48	10:51:48			10:51:48	10:51:48	10:51:50	10:51:50	10:51:50	10:51:50	10:51:50	10:51:50			10:51:51	10:51:51		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
64	10:51:51	10:51:51	10:51:51	10:51:51	10:51:51	10:51:51			10:51:51	10:51:51	10:51:52	10:51:52	10:51:52	10:51:52	10:51:52	10:51:52			10:51:53	10:51:53		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
