NumberOfBuses,BusSpacing,ReRoute,ChangeLegMode,SpeedOfFlood,AverageTimeLast,TripDistanceLast,ModeSplitLast,TotalEvacuationTime
7,1620,FALSE,TRUE,120,1595.4,4505.812351766282,0.778,4800
7,1680,FALSE,TRUE,120,1545.7,4460.55846476831,0.76,5100
7,1740,FALSE,TRUE,120,1546.3,4530.05433250437,0.768,5100
7,1800,FALSE,TRUE,120,1548.0,4460.765045301245,0.764,5100
8,120,FALSE,TRUE,120,1457.4,4398.260059690157,0.744,4800
8,180,FALSE,TRUE,120,1577.4,4515.406234609767,0.78,4800
8,240,FALSE,TRUE,120,1518.1,4436.5501875709715,0.766,5100
8,300,FALSE,TRUE,120,1476.8,4415.342908223601,0.748,4800
8,360,FALSE,TRUE,120,1457.0,4506.298501727853,0.75,4500
8,420,FALSE,TRUE,120,1539.2,4452.4731547201645,0.746,5100
8,480,FALSE,TRUE,120,1570.0,4508.881859225231,0.776,5100
8,540,FALSE,TRUE,120,1552.2,4534.11187746285,0.776,4800
8,600,FALSE,TRUE,120,1622.6,4580.677710998254,0.782,5100
8,660,FALSE,TRUE,120,1500.9,4354.534803864073,0.752,4800
8,720,FALSE,TRUE,120,1551.0,4604.61561233759,0.782,4800
8,780,FALSE,TRUE,120,1554.1,4445.416528006959,0.772,4800
8,840,FALSE,TRUE,120,1428.3,4344.601153120927,0.73,4800
8,900,FALSE,TRUE,120,1544.9,4461.843208374813,0.766,5100
8,960,FALSE,TRUE,120,1580.9,4545.659096476947,0.776,5100
8,1020,FALSE,TRUE,120,1450.5,4350.567159596033,0.734,4800
8,1080,FALSE,TRUE,120,1573.4,4554.090777527554,0.78,5100
8,1140,FALSE,TRUE,120,1471.7,4391.321047960763,0.742,4800
8,1200,FALSE,TRUE,120,1507.5,4479.499582380073,0.752,4800
8,1260,FALSE,TRUE,120,1586.2,4459.976198174711,0.782,5100
8,1320,FALSE,TRUE,120,1494.0,4436.436733056052,0.756,4800
8,1380,FALSE,TRUE,120,1526.0,4501.200961550154,0.77,4800
8,1440,FALSE,TRUE,120,1558.5,4488.085865448331,0.762,4800
8,1500,FALSE,TRUE,120,1654.7,4589.037377407221,0.806,5100
8,1560,FALSE,TRUE,120,1538.1,4558.70438396442,0.774,4800
8,1620,FALSE,TRUE,120,1569.5,4494.6885283119045,0.768,5100
8,1680,FALSE,TRUE,120,1495.8,4402.123484453203,0.744,4800
8,1740,FALSE,TRUE,120,1492.6,4384.411371465697,0.748,4800
8,1800,FALSE,TRUE,120,1536.7,4509.330760056598,0.756,4800
1,120,TRUE,TRUE,120,2474.7,5475.907341383599,0.948,7200
1,180,TRUE,TRUE,120,2501.1,5376.3843942246685,0.948,7200
1,240,TRUE,TRUE,120,2382.0,5298.259480479995,0.928,7200
1,300,TRUE,TRUE,120,2111.9,5134.239863798732,0.89,7200
1,360,TRUE,TRUE,120,1876.1,4954.1343966948025,0.846,7200
1,420,TRUE,TRUE,120,1764.3,4800.586337121647,0.82,7200
1,480,TRUE,TRUE,120,1699.4,4807.1146215711315,0.826,5100
1,540,TRUE,TRUE,120,1648.4,4711.173427601034,0.818,4800
1,600,TRUE,TRUE,120,1689.5,4703.393603624017,0.816,6000
1,660,TRUE,TRUE,120,1774.9,4895.762374278659,0.852,5100
1,720,TRUE,TRUE,120,1703.8,4793.359279243509,0.84,4800
1,780,TRUE,TRUE,120,1793.7,4810.5479327008625,0.84,6000
1,840,TRUE,TRUE,120,1766.4,4764.510423580412,0.838,5700
1,900,TRUE,TRUE,120,1717.0,4792.884494306628,0.824,5700
1,960,TRUE,TRUE,120,1697.3,4724.784824152905,0.822,5700
1,1020,TRUE,TRUE,120,1691.2,4769.9751074024425,0.832,5700
1,1080,TRUE,TRUE,120,1653.3,4615.022479380102,0.806,5100
1,1140,TRUE,TRUE,120,1622.7,4596.9118028607,0.804,5700
1,1200,TRUE,TRUE,120,1600.5,4738.834817790769,0.812,5700
1,1260,TRUE,TRUE,120,1623.0,4713.530953769984,0.808,5700
1,1320,TRUE,TRUE,120,1714.2,4742.058704793631,0.824,5100
1,1380,TRUE,TRUE,120,1689.3,4661.690238902791,0.808,5400
1,1440,TRUE,TRUE,120,1796.9,4831.258347285839,0.84,5400
1,1500,TRUE,TRUE,120,1730.4,4723.034414857345,0.824,5400
1,1560,TRUE,TRUE,120,1838.2,4762.823505864178,0.834,5700
1,1620,TRUE,TRUE,120,1828.8,4839.935781988889,0.844,5400
1,1680,TRUE,TRUE,120,1880.8,4941.335996201707,0.856,5400
